Gene	Aliases Used	OG/TSG	Pathway
CDKN1A		TSG	Cell Cycle
CDKN1B		TSG	Cell Cycle
CDKN2A		TSG	Cell Cycle
CDKN2B		TSG	Cell Cycle
CDKN2C		TSG	Cell Cycle
CCND1		OG	Cell Cycle
CCND2		OG	Cell Cycle
CCND3		OG	Cell Cycle
CCNE1		OG	Cell Cycle
CDK2		OG	Cell Cycle
CDK4		OG	Cell Cycle
CDK6		OG	Cell Cycle
RB1		TSG	Cell Cycle
E2F1		OG	Cell Cycle
E2F3		OG	Cell Cycle
STK4	MST1	TSG	HIPPO
STK3	MST2	TSG	HIPPO
SAV1		TSG	HIPPO
LATS1		TSG	HIPPO
LATS2		TSG	HIPPO
MOB1A		TSG	HIPPO
MOB1B		TSG	HIPPO
YAP1		OG	HIPPO
WWTR1	TAZ	OG	HIPPO
TEAD1		OG	HIPPO
TEAD2		OG	HIPPO
TEAD3		OG	HIPPO
TEAD4		OG	HIPPO
PTPN14		TSG	HIPPO
NF2		TSG	HIPPO
WWC1	KIBRA	TSG	HIPPO
TAOK1		TSG	HIPPO
TAOK2		TSG	HIPPO
TAOK3		TSG	HIPPO
CRB1		TSG	HIPPO
CRB2		TSG	HIPPO
CRB3		TSG	HIPPO
LLGL1		TSG	HIPPO
LLGL2		TSG	HIPPO
HMCN1		TSG	HIPPO
SCRIB		Unknown	HIPPO
HIPK2		OG	HIPPO
FAT1		TSG	HIPPO
FAT2		TSG	HIPPO
FAT3		TSG	HIPPO
FAT4		TSG	HIPPO
DCHS1		TSG	HIPPO
DCHS2		TSG	HIPPO
CSNK1E		TSG	HIPPO
CSNK1D		TSG	HIPPO
AJUBA		OG	HIPPO
LIMD1		OG	HIPPO
WTIP		OG	HIPPO
MAX		TSG	MYC
MGA		TSG	MYC
MLX		TSG	MYC
MLXIP		OG	MYC
MLXIPL		OG	MYC
MNT		TSG	MYC
MXD1			MYC
MXD3			MYC
MXD4			MYC
MXI1		TSG	MYC
MYC		OG	MYC
MYCL	MYCL1	OG	MYC
MYCN		OG	MYC
ARRDC1		OG	NOTCH
CNTN6		TSG	NOTCH
CREBBP		TSG	NOTCH
EP300		TSG	NOTCH
HES1	HES-1	TSG	NOTCH
HES2	HES-2	TSG	NOTCH
HES3	HES-3	TSG	NOTCH
HES4	HES-4	TSG	NOTCH
HES5	HES-5	TSG	NOTCH
HEY1	HEY-1	TSG	NOTCH
HEY2	HEY-2	TSG	NOTCH
HEYL		TSG	NOTCH
KAT2B		TSG	NOTCH
KDM5A		OG	NOTCH
NOTCH1		TSG	NOTCH
NOTCH2		TSG	NOTCH
NOTCH3		TSG	NOTCH
NOTCH4		TSG	NOTCH
NOV		TSG	NOTCH
NRARP		OG	NOTCH
PSEN2		TSG	NOTCH
LFNG			NOTCH
ITCH			NOTCH
NCSTN			NOTCH
SPEN		TSG	NOTCH
JAG1			NOTCH
APH1A			NOTCH
FBXW7		TSG	NOTCH
FHL1			NOTCH
THBS2	TSP2		NOTCH
HDAC2			NOTCH
MFAP2			NOTCH
CUL1		TSG	NOTCH
RFNG			NOTCH
NCOR1		TSG	NOTCH
NCOR2		TSG	NOTCH
MFAP5			NOTCH
HDAC1		OG	NOTCH
NUMB			NOTCH
JAG2		TSG	NOTCH
MAML3		TSG	NOTCH
MFNG			NOTCH
CIR1			NOTCH
CNTN1			NOTCH
MAML1			NOTCH
MAML2			NOTCH
NUMBL			NOTCH
PSEN1			NOTCH
PSENEN			NOTCH
RBPJ			NOTCH
RBPJL			NOTCH
RBX1			NOTCH
SAP30			NOTCH
SKP1			NOTCH
SNW1			NOTCH
CTBP1			NOTCH
CTBP2			NOTCH
ADAM10			NOTCH
APH1B			NOTCH
ADAM17			NOTCH
DLK1	DLK-1		NOTCH
DLL1			NOTCH
DLL3			NOTCH
DLL4			NOTCH
DNER		TSG	NOTCH
DTX1			NOTCH
DTX2			NOTCH
DTX3			NOTCH
DTX3L			NOTCH
DTX4			NOTCH
EGFL7			NOTCH
NFE2L2	NRF2	OG	NRF2
KEAP1		TSG	NRF2
CUL3		TSG	NRF2
EIF4EBP1	4EBP1	OG	PI3K
AKT1		OG	PI3K
AKT2		OG	PI3K
AKT3		OG	PI3K
AKT1S1	AKTS1	OG	PI3K
DEPDC5			PI3K
DEPTOR		OG	PI3K
INPP4B		TSG	PI3K
MAPKAP1		OG	PI3K
MLST8		OG	PI3K
MTOR		OG	PI3K
NPRL2		TSG	PI3K
NPRL3		TSG	PI3K
PDK1		OG	PI3K
PIK3CA		OG	PI3K
PIK3CB		OG	PI3K
PIK3R1		TSG	PI3K
PIK3R2		OG	PI3K
PIK3R3		TSG	PI3K
PPP2R1A		TSG	PI3K
PTEN		TSG	PI3K
RHEB		OG	PI3K
RICTOR		OG	PI3K
RPTOR		OG	PI3K
RPS6		OG	PI3K
RPS6KB1		OG	PI3K
STK11		TSG	PI3K
TSC1		TSG	PI3K
TSC2		TSG	PI3K
TGFBR1		TSG	TGF-Beta
TGFBR2		TSG	TGF-Beta
ACVR2A		TSG	TGF-Beta
ACVR1B		TSG	TGF-Beta
SMAD2		TSG	TGF-Beta
SMAD3		TSG	TGF-Beta
SMAD4		TSG	TGF-Beta
ABL1		OG	RTK-RAS
EGFR		OG	RTK-RAS
ERBB2		OG	RTK-RAS
ERBB3		OG	RTK-RAS
ERBB4		OG	RTK-RAS
PDGFRA		OG	RTK-RAS
PDGFRB		OG	RTK-RAS
MET		OG	RTK-RAS
FGFR1		OG	RTK-RAS
FGFR2		OG	RTK-RAS
FGFR3		OG	RTK-RAS
FGFR4		OG	RTK-RAS
FLT3		OG	RTK-RAS
ALK		OG	RTK-RAS
RET		OG	RTK-RAS
ROS1		OG	RTK-RAS
KIT		OG	RTK-RAS
IGF1R		OG	RTK-RAS
NTRK1		OG	RTK-RAS
NTRK2		OG	RTK-RAS
NTRK3		OG	RTK-RAS
SOS1		OG	RTK-RAS
GRB2		OG	RTK-RAS
PTPN11		OG	RTK-RAS
KRAS		OG	RTK-RAS
HRAS		OG	RTK-RAS
NRAS		OG	RTK-RAS
RIT1		OG	RTK-RAS
ARAF		OG	RTK-RAS
BRAF		OG	RTK-RAS
RAF1		OG	RTK-RAS
RAC1		OG	RTK-RAS
MAP2K1		OG	RTK-RAS
MAP2K2		OG	RTK-RAS
MAPK1		OG	RTK-RAS
NF1		TSG	RTK-RAS
RASA1		TSG	RTK-RAS
CBL		TSG	RTK-RAS
ERRFI1		TSG	RTK-RAS
CBLB		NA	RTK-RAS
CBLC		NA	RTK-RAS
INSR		NA	RTK-RAS
INSRR		NA	RTK-RAS
IRS1		NA	RTK-RAS
SOS2		NA	RTK-RAS
SHC1		NA	RTK-RAS
SHC2		NA	RTK-RAS
SHC3		NA	RTK-RAS
SHC4		NA	RTK-RAS
RASGRP1		NA	RTK-RAS
RASGRP2		NA	RTK-RAS
RASGRP3		NA	RTK-RAS
RASGRP4		NA	RTK-RAS
RAPGEF1		NA	RTK-RAS
RAPGEF2		NA	RTK-RAS
RASGRF1		NA	RTK-RAS
RASGRF2		NA	RTK-RAS
FNTA		NA	RTK-RAS
FNTB		NA	RTK-RAS
RCE1		NA	RTK-RAS
ICMT		NA	RTK-RAS
MRAS		NA	RTK-RAS
PLXNB1		NA	RTK-RAS
MAPK3		NA	RTK-RAS
ARHGAP35		NA	RTK-RAS
RASA2		NA	RTK-RAS
RASA3		NA	RTK-RAS
RASAL1		NA	RTK-RAS
RASAL2		NA	RTK-RAS
RASAL3		NA	RTK-RAS
SPRED1		NA	RTK-RAS
SPRED2		NA	RTK-RAS
SPRED3		NA	RTK-RAS
DAB2IP		NA	RTK-RAS
SHOC2		NA	RTK-RAS
PPP1CA		NA	RTK-RAS
SCRIB		NA	RTK-RAS
PIN1		NA	RTK-RAS
KSR1		NA	RTK-RAS
KSR2		NA	RTK-RAS
PEBP1		NA	RTK-RAS
ERF		TSG	RTK-RAS
PEA15		NA	RTK-RAS
JAK2		OG	RTK-RAS
IRS2		OG	RTK-RAS
TP53		TSG	TP53
MDM2		OG	TP53
MDM4		OG	TP53
ATM		TSG	TP53
CHEK2		TSG	TP53
RPS6KA3		OG	TP53
CHD8		NA	WNT
LEF1		OG	WNT
LGR4		OG	WNT
LGR5		OG	WNT
LRP5		OG	WNT
LRP6		OG	WNT
LZTR1		NA	WNT
NDP		NA	WNT
PORCN		OG	WNT
RSPO1		OG	WNT
SFRP1		TSG	WNT
SFRP2		TSG	WNT
SFRP4		TSG	WNT
SFRP5		TSG	WNT
SOST		TSG	WNT
TCF7L1		TSG	WNT
TLE1		TSG	WNT
TLE2		TSG	WNT
TLE3		TSG	WNT
TLE4		TSG	WNT
WIF1		TSG	WNT
ZNRF3		TSG	WNT
CTNNB1		OG	WNT
DVL1		OG	WNT
DVL2		OG	WNT
DVL3		OG	WNT
FRAT1		OG	WNT
FRAT2		OG	WNT
FZD1		OG	WNT
FZD10		OG	WNT
FZD2		OG	WNT
FZD3		OG	WNT
FZD4		OG	WNT
FZD5		OG	WNT
FZD6		OG	WNT
FZD7		OG	WNT
FZD8		OG	WNT
FZD9		OG	WNT
WNT1		OG	WNT
WNT10A		OG	WNT
WNT10B		OG	WNT
WNT11		OG	WNT
WNT16		OG	WNT
WNT2		OG	WNT
WNT3A		OG	WNT
WNT4		OG	WNT
WNT5A		OG	WNT
WNT5B		OG	WNT
WNT6		OG	WNT
WNT7A		OG	WNT
WNT7B		OG	WNT
WNT8A		OG	WNT
WNT8B		OG	WNT
WNT9A		OG	WNT
WNT9B		OG	WNT
AMER1		TSG	WNT
APC		TSG	WNT
AXIN1		TSG	WNT
AXIN2		TSG	WNT
DKK1		TSG	WNT
DKK2		TSG	WNT
DKK3		TSG	WNT
DKK4		TSG	WNT
GSK3B		TSG	WNT
RNF43		TSG	WNT
TCF7		TSG	WNT
TCF7L2		TSG	WNT
CHD4			WNT
